Time,dengue-sg
9.4729E+11,17
9.47894E+11,10
9.48499E+11,15
9.49104E+11,15
9.49709E+11,13
9.50314E+11,19
9.50918E+11,5
9.51523E+11,16
9.52128E+11,14
9.52733E+11,11
9.53338E+11,3
9.53942E+11,12
9.54547E+11,6
9.55152E+11,4
9.55757E+11,8
9.56362E+11,8
9.56966E+11,12
9.57571E+11,11
9.58176E+11,7
9.58781E+11,13
9.59386E+11,7
9.5999E+11,9
9.60595E+11,14
9.612E+11,10
9.61805E+11,11
9.6241E+11,21
9.63014E+11,13
9.63619E+11,12
9.64224E+11,13
9.64829E+11,17
9.65434E+11,24
9.66038E+11,11
9.66643E+11,22
9.67248E+11,20
9.67853E+11,10
9.68458E+11,11
9.69062E+11,7
9.69667E+11,27
9.70272E+11,18
9.70877E+11,14
9.71482E+11,14
9.72086E+11,11
9.72691E+11,9
9.73296E+11,14
9.73901E+11,11
9.74506E+11,15
9.7511E+11,19
9.75715E+11,9
9.7632E+11,8
9.76925E+11,13
9.7753E+11,22
9.78134E+11,18
9.78739E+11,11
9.79344E+11,22
9.79949E+11,24
9.80554E+11,15
9.81158E+11,26
9.81763E+11,16
9.82368E+11,23
9.82973E+11,33
9.83578E+11,30
9.84182E+11,29
9.84787E+11,47
9.85392E+11,38
9.85997E+11,29
9.86602E+11,30
9.87206E+11,15
9.87811E+11,39
9.88416E+11,33
9.89021E+11,37
9.89626E+11,40
9.9023E+11,42
9.90835E+11,65
9.9144E+11,40
9.92045E+11,40
9.9265E+11,36
9.93254E+11,77
9.93859E+11,55
9.94464E+11,126
9.95069E+11,69
9.95674E+11,79
9.96278E+11,78
9.96883E+11,90
9.97488E+11,76
9.98093E+11,100
9.98698E+11,64
9.99302E+11,63
9.99907E+11,86
1.00051E+12,83
1.00112E+12,55
1.00172E+12,52
1.00233E+12,51
1.00293E+12,51
1.00354E+12,35
1.00414E+12,32
1.00475E+12,35
1.00535E+12,37
1.00596E+12,32
1.00656E+12,41
1.00716E+12,26
1.00777E+12,41
1.00837E+12,35
1.00898E+12,26
1.00958E+12,17
1.01019E+12,20
1.01079E+12,23
1.0114E+12,23
1.012E+12,19
1.01261E+12,20
1.01321E+12,18
1.01382E+12,12
1.01442E+12,27
1.01503E+12,19
1.01563E+12,12
1.01624E+12,32
1.01684E+12,17
1.01745E+12,25
1.01805E+12,41
1.01866E+12,40
1.01926E+12,33
1.01987E+12,41
1.02047E+12,45
1.02108E+12,64
1.02168E+12,58
1.02228E+12,79
1.02289E+12,55
1.02349E+12,51
1.0241E+12,60
1.0247E+12,63
1.02531E+12,54
1.02591E+12,91
1.02652E+12,105
1.02712E+12,113
1.02773E+12,115
1.02833E+12,136
1.02894E+12,83
1.02954E+12,154
1.03015E+12,147
1.03075E+12,156
1.03136E+12,144
1.03196E+12,159
1.03257E+12,139
1.03317E+12,129
1.03378E+12,124
1.03438E+12,141
1.03499E+12,121
1.03559E+12,110
1.0362E+12,101
1.0368E+12,95
1.0374E+12,99
1.03801E+12,96
1.03861E+12,96
1.03922E+12,72
1.03982E+12,87
1.04043E+12,115
1.04103E+12,64
1.04164E+12,68
1.04224E+12,104
1.04285E+12,97
1.04345E+12,86
1.04406E+12,89
1.04466E+12,64
1.04527E+12,89
1.04587E+12,89
1.04648E+12,100
1.04708E+12,62
1.04769E+12,93
1.04829E+12,86
1.0489E+12,65
1.0495E+12,98
1.05011E+12,65
1.05071E+12,55
1.05132E+12,76
1.05192E+12,38
1.05252E+12,81
1.05313E+12,96
1.05373E+12,127
1.05434E+12,189
1.05494E+12,258
1.05555E+12,165
1.05615E+12,165
